Reader ID,Flower ID,Day,Color,Reward
50140,A9,treatment,blue.treatment,nectar
50145,A3,treatment,blue.treatment,nectar
50150,A4,treatment,blue.treatment,nectar
50151,A7,treatment,blue.treatment,nectar
50125,B9,treatment,blue.treatment,nectar
50124,B10,treatment,blue.treatment,nectar
50120,B12,treatment,blue.treatment,nectar
50121,B13,treatment,blue.treatment,nectar
50131,B7,treatment,blue.treatment,nectar
50140,A9,test,violet.test,nectar
50145,A3,test,violet.test,nectar
50150,A4,test,violet.test,nectar
50151,A7,test,violet.test,nectar
50125,B9,test,violet.test,nectar
50124,B10,test,violet.test,nectar
50120,B12,test,violet.test,nectar
50121,B13,test,violet.test,nectar
50131,B7,test,violet.test,nectar
50144,A0,treatment,green.treatment,water
50136,A12,treatment,green.treatment,water
50149,A5,treatment,green.treatment,water
50134,A15,treatment,green.treatment,water
50128,B0,treatment,green.treatment,water
50130,B2,treatment,green.treatment,water
50132,B3,treatment,green.treatment,water
50135,B5,treatment,green.treatment,water
50126,B15,treatment,green.treatment,water
50144,A0,test,blue.test,nectar
50136,A12,test,blue.test,nectar
50149,A5,test,blue.test,nectar
50134,A15,test,blue.test,nectar
50128,B0,test,blue.test,nectar
50130,B2,test,blue.test,nectar
50132,B3,test,blue.test,nectar
50135,B5,test,blue.test,nectar
50126,B15,test,blue.test,nectar